t_us,x,y,z,qw,qx,qy,qz
1532402927604844,411.444978,1181.263189,0.000000,0.572009,-0.002216,0.011491,-0.820164
1532402927612460,411.419986,1181.197176,0.000000,0.572006,-0.002143,0.011564,-0.820165
1532402927620339,411.394009,1181.128833,0.000000,0.571998,-0.002068,0.011639,-0.820170
1532402927627893,411.369210,1181.063438,0.000000,0.571997,-0.001983,0.011713,-0.820169
1532402927635538,411.344339,1180.997476,0.000000,0.572011,-0.001876,0.011755,-0.820160
1532402927637525,411.337873,1180.980332,0.000000,0.572014,-0.001848,0.011764,-0.820157
1532402927639817,411.330414,1180.960557,0.000000,0.572018,-0.001815,0.011773,-0.820155
1532402927647423,411.305769,1180.895002,0.000000,0.572036,-0.001705,0.011796,-0.820142
1532402927647951,411.303935,1180.890379,0.000000,0.572032,-0.001698,0.011798,-0.820145
1532402927652686,411.289020,1180.849823,0.000000,0.572060,-0.001635,0.011824,-0.820125
1532402927662460,411.257907,1180.765922,0.000000,0.572105,-0.001515,0.011903,-0.820093
1532402927664178,411.252436,1180.751175,0.000000,0.572113,-0.001496,0.011923,-0.820087
1532402927668356,411.239184,1180.715384,0.000000,0.572136,-0.001451,0.011970,-0.820070
1532402927670339,411.232900,1180.698407,0.000000,0.572148,-0.001428,0.011996,-0.820062
1532402927677893,411.208961,1180.633734,0.000000,0.572191,-0.001338,0.012105,-0.820030
1532402927687525,411.178477,1180.551228,0.000000,0.572261,-0.001230,0.012242,-0.819979
1532402927697423,411.147355,1180.466254,0.000000,0.572393,-0.001134,0.012379,-0.819885
1532402927697752,411.146006,1180.463718,0.000000,0.572306,-0.001129,0.012384,-0.819946
1532402927704998,411.123547,1180.401214,0.000000,0.572493,-0.001070,0.012494,-0.819814
1532402927709071,411.110787,1180.366336,0.000000,0.572546,-0.001039,0.012560,-0.819776
1532402927727672,411.052579,1180.207118,0.000000,0.572784,-0.000913,0.012864,-0.819605
1532402927738502,411.018803,1180.114629,0.000000,0.572917,-0.000898,0.013017,-0.819510
1532402927739208,411.016602,1180.108599,0.000000,0.572925,-0.000898,0.013027,-0.819504
1532402927747489,410.990790,1180.037866,0.000000,0.573027,-0.000918,0.013166,-0.819431
1532402927754844,410.967450,1179.974974,0.000000,0.573074,-0.000958,0.013296,-0.819395
1532402927762460,410.943370,1179.909862,0.000000,0.573132,-0.001009,0.013420,-0.819353
1532402927770339,410.918514,1179.842600,0.000000,0.573191,-0.001064,0.013529,-0.819310
1532402927777893,410.894722,1179.778183,0.000000,0.573246,-0.001114,0.013608,-0.819269
1532402927780557,410.886332,1179.755465,0.000000,0.573266,-0.001131,0.013637,-0.819255
1532402927784675,410.873364,1179.720347,0.000000,0.573296,-0.001167,0.013671,-0.819233
1532402927787525,410.864326,1179.696052,0.000000,0.573295,-0.001193,0.013695,-0.819234
1532402927797423,410.832792,1179.611694,0.000000,0.573253,-0.001330,0.013757,-0.819262
1532402927797806,410.831517,1179.608352,0.000000,0.573270,-0.001336,0.013759,-0.819250
1532402927802716,410.815908,1179.566585,0.000000,0.573230,-0.001408,0.013788,-0.819277
1532402927813392,410.781941,1179.475762,0.000000,0.573183,-0.001566,0.013853,-0.819309
1532402927814384,410.778786,1179.467329,0.000000,0.573179,-0.001581,0.013859,-0.819312
1532402927848597,410.670303,1179.176961,0.000000,0.573055,-0.002085,0.013902,-0.819396
1532402927854844,410.649783,1179.123647,0.000000,0.573055,-0.002168,0.013874,-0.819397
1532402927855575,410.647409,1179.117421,0.000000,0.573054,-0.002178,0.013871,-0.819397
1532402927859417,410.634925,1179.084698,0.000000,0.573050,-0.002226,0.013851,-0.819400
1532402927862460,410.625036,1179.058781,0.000000,0.573047,-0.002248,0.013824,-0.819403
1532402927870339,410.599520,1178.991783,0.000000,0.573041,-0.002301,0.013753,-0.819408
1532402927872236,410.593390,1178.975668,0.000000,0.573040,-0.002308,0.013736,-0.819409
1532402927877893,410.575106,1178.927613,0.000000,0.573037,-0.002331,0.013685,-0.819412
1532402927887525,410.543989,1178.845831,0.000000,0.573032,-0.002374,0.013592,-0.819417
1532402927887718,410.543368,1178.844196,0.000000,0.573032,-0.002375,0.013590,-0.819417
1532402927888918,410.539505,1178.834027,0.000000,0.573032,-0.002380,0.013578,-0.819417
1532402927897423,410.512117,1178.761961,0.000000,0.573030,-0.002419,0.013501,-0.819419
1532402927897900,410.510401,1178.757668,0.000000,0.573025,-0.002421,0.013497,-0.819423
1532402927904844,410.488210,1178.699082,0.000000,0.573029,-0.002450,0.013436,-0.819421
1532402927912477,410.463663,1178.634180,0.000000,0.573022,-0.002479,0.013370,-0.819427
1532402927920339,410.438371,1178.567304,0.000000,0.573014,-0.002510,0.013303,-0.819434
1532402927927893,410.414119,1178.503115,0.000000,0.573008,-0.002542,0.013245,-0.819439
1532402927929742,410.408211,1178.487435,0.000000,0.573008,-0.002553,0.013234,-0.819439
1532402927930580,410.405534,1178.480329,0.000000,0.573008,-0.002558,0.013231,-0.819439
1532402927937658,410.382915,1178.420307,0.000000,0.573008,-0.002598,0.013204,-0.819439
1532402927947367,410.351971,1178.337989,0.000000,0.573007,-0.002661,0.013213,-0.819440
1532402927947423,410.351798,1178.337515,0.000000,0.573007,-0.002661,0.013213,-0.819440
1532402927947658,410.350949,1178.335509,0.000000,0.573008,-0.002655,0.013165,-0.819439
